,region,department,overseas,city,station,latitude,longitude
22,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,PORT-DE-BOUC,Port de Bouc Leque&FR02008,43.401952,4.981919
23,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,PORT-SAINT-LOUIS-DU-RHÔNE,Port Saint Louis&FR02009,43.39378,4.801024
24,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,FOS-SUR-MER,Fos sur Mer&FR02011,43.437858,4.945116
25,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,ISTRES,Istres&FR02012,43.506149,4.982898
26,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,FOS-SUR-MER,Fos Les Carabins&FR02013,43.458927,4.934572
27,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,ROGNAC,Rognac les Brets&FR02020,43.510802,5.220046
28,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,SAUSSET-LES-PINS,Sausset les Pins&FR02021,43.331245,5.117696
29,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,ARLES,Arles&FR02022,43.675114,4.62921
30,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,MARTIGUES,Martigues Lavera&FR02028,43.386564,5.026868
31,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,CHÂTEAUNEUF-LES-MARTIGUES,Chateauneuf La Mede&FR02029,43.399546,5.113214
32,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,SALON-DE-PROVENCE,SALON&FR02041,43.639002,5.101097
33,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,MARIGNANE,Marignane&FR02043,43.4165306,5.222281
34,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,MARSEILLE 8E ARRONDISSEMENT,MARSEILLE RABATAU&FR03006,43.276451,5.39736
35,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,MARSEILLE 15E ARRONDISSEMENT,MARSEILLE ST LOUIS&FR03014,43.348048,5.360119
36,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,AIX-EN-PROVENCE,AIX ROY RENE&FR03021,43.524075,5.448164
37,PROVENCE-ALPES-COTE D'AZUR,VAR,False,PLAN-D'AUPS-SAINTE-BAUME,PLAN AUPS/STE  BAUME&FR03027,43.335201,5.727365
38,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,AIX-EN-PROVENCE,AIX CENTRE ECOLE ART&FR03029,43.530285,5.440912
39,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,GARDANNE,GARDANNE&FR03030,43.453584,5.466672
40,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,AUBAGNE,AUBAGNE LES PASSONS&FR03032,43.293138,5.574184
41,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,LA PENNE-SUR-HUVEAUNE,VALLEE HUVEAUNE&FR03037,43.283341,5.511384
42,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,MARSEILLE 4E ARRONDISSEMENT,MARSEILLE 5 AVENUES&FR03043,43.305287,5.394716
43,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHÔNE,False,AIX-EN-PROVENCE,AIX PLATANES&FR03048,43.555777,5.461232
44,PROVENCE-ALPES-COTE D'AZUR,VAR,False,LA SEYNE-SUR-MER,LA SEYNE GENOUD&FR03060,43.101565,5.875404
45,PROVENCE-ALPES-COTE D'AZUR,VAR,False,BRIGNOLES,BRIGNOLES&FR03067,43.398731,6.075611
46,PROVENCE-ALPES-COTE D'AZUR,VAR,False,TOULON,TOULON FOCH&FR03068,43.126821,5.921605
47,PROVENCE-ALPES-COTE D'AZUR,VAR,False,HYÈRES,HYERES&FR03069,43.119737,6.131319
48,PROVENCE-ALPES-COTE D'AZUR,VAR,False,FRÉJUS,ESTEREL&FR03070,43.437874,6.76839
49,PROVENCE-ALPES-COTE D'AZUR,VAR,False,TOULON,TOULON CLARET&FR03071,43.131113,5.924184
50,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,False,AVIGNON,AVIGNON   MAIRIE&FR03080,43.949673,4.804341
51,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,False,LE PONTET,LE PONTET&FR03084,43.960144,4.856731
52,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,False,APT,APT&FR03086,43.88012,5.362038
53,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,False,AVIGNON,Avignon Semard&FR03087,43.93706,4.824909
54,PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,False,CARPENTRAS,CARPENTRAS&FR03088,44.060347,5.067413
55,ILE-DE-FRANCE,HAUTS-DE-SEINE,False,GENNEVILLIERS,GENNEVILLIERS&FR04002,48.92972,2.294722
56,ILE-DE-FRANCE,PARIS,False,PARIS 18E ARRONDISSEMENT,PARIS 18eme&FR04004,48.891666,2.346667
57,ILE-DE-FRANCE,PARIS,False,PARIS 14E ARRONDISSEMENT,Place Victor Basch&FR04012,48.827778,2.3275
58,ILE-DE-FRANCE,PARIS,False,PARIS 12E ARRONDISSEMENT,PARIS 12eme&FR04014,48.837223,2.3939
59,ILE-DE-FRANCE,HAUTS-DE-SEINE,False,NEUILLY-SUR-SEINE,NEUILLY-SUR-SEINE&FR04017,48.88139,2.278056
60,ILE-DE-FRANCE,SEINE-SAINT-DENIS,False,AUBERVILLIERS,AUBERVILLIERS&FR04018,48.9039,2.3847
61,ILE-DE-FRANCE,VAL-D'OISE,False,CERGY,CERGY-PONTOISE&FR04023,49.04639,2.043056
62,ILE-DE-FRANCE,VAL-D'OISE,False,GONESSE,GONESSE&FR04024,48.99083,2.444722
63,ILE-DE-FRANCE,YVELINES,False,VERSAILLES,VERSAILLES&FR04029,48.799168,2.130556
64,ILE-DE-FRANCE,PARIS,False,PARIS 8E ARRONDISSEMENT,Av Champs Elysees&FR04031,48.86889,2.311944
65,ILE-DE-FRANCE,VAL-DE-MARNE,False,VITRY-SUR-SEINE,VITRY-SUR-SEINE&FR04034,48.7758,2.3758
66,ILE-DE-FRANCE,PARIS,False,PARIS 13E ARRONDISSEMENT,PARIS 13eme&FR04037,48.82861,2.360278
67,ILE-DE-FRANCE,YVELINES,False,SONCHAMP,Zone Rurale SO&FR04038,48.581944,1.883333
68,ILE-DE-FRANCE,VAL-D'OISE,False,SAINT-MARTIN-DU-TERTRE,Zone Rurale Nord&FR04048,49.100277,2.343889
69,ILE-DE-FRANCE,ESSONNE,False,LES ULIS,LES ULIS&FR04049,48.679443,2.165556
70,ILE-DE-FRANCE,VAL-D'OISE,False,ARGENTEUIL,ARGENTEUIL&FR04051,48.95139,2.223611
71,ILE-DE-FRANCE,PARIS,False,PARIS 1ER ARRONDISSEMENT,PARIS 1er Les Halles&FR04055,48.86212,2.344616
72,ILE-DE-FRANCE,SEINE-SAINT-DENIS,False,SAINT-DENIS,Auto A1 -Saint-Denis&FR04058,48.925278,2.356667
73,ILE-DE-FRANCE,SEINE-SAINT-DENIS,False,SAINT-DENIS,SAINT-DENIS&FR04059,48.93722,2.361667
74,ILE-DE-FRANCE,PARIS,False,PARIS 7E ARRONDISSEMENT,PARIS 7eme&FR04060,48.8572,2.2933
75,ILE-DE-FRANCE,YVELINES,False,MANTES-LA-JOLIE,MANTES-LA-JOLIE&FR04063,48.9964,1.7033
